IP地址,端口,国家缩写,TLS,数据中心,地区,城市,网络延迟,速度(MB/s)
13.228.130.34,443,SG,TRUE,SIN,亚太,新加坡,75 ms,16.22
61.222.202.104,23555,TW,TRUE,KHH,亚太,高雄市,64 ms,16.14
38.207.161.158,36166,HK,TRUE,HKG,亚太,香港,37 ms,16.12
140.238.13.96,443,KR,TRUE,ICN,亚太,首尔,51 ms,16.09
8.222.140.185,2083,SG,TRUE,SIN,亚太,新加坡,79 ms,15.97
146.56.161.229,443,JP,TRUE,NRT,亚太,东京,74 ms,15.93
211.75.223.83,23555,TW,TRUE,KHH,亚太,高雄市,43 ms,15.91
38.207.173.13,17035,HK,TRUE,HKG,亚太,香港,37 ms,15.91
103.201.130.137,33232,JP,TRUE,NRT,亚太,东京,87 ms,15.9
132.145.95.170,39637,KR,TRUE,ICN,亚太,首尔,34 ms,15.82
154.197.121.253,443,US,TRUE,LAX,北美洲,洛杉矶,238 ms,15.75
104.17.160.33,443,HK,TRUE,HKG,亚太,香港,45 ms,15.74
125.227.213.107,23555,TW,TRUE,KHH,亚太,高雄市,68 ms,15.5
38.59.249.192,55000,US,TRUE,SJC,北美洲,圣何塞,146 ms,15.46
38.59.230.134,42230,PL,TRUE,WAW,欧洲,华沙,249 ms,15.35
211.75.223.82,23555,TW,TRUE,KHH,亚太,高雄市,65 ms,15.23
202.141.163.4,23336,HK,TRUE,HKG,亚太,香港,42 ms,15.22
220.130.73.152,23555,TW,TRUE,KHH,亚太,高雄市,65 ms,15.21
172.252.245.235,34237,JP,TRUE,KIX,亚太,大阪,104 ms,14.89
193.122.103.10,45171,JP,TRUE,NRT,亚太,东京,34 ms,14.83
104.129.164.188,443,US,TRUE,SEA,北美洲,西雅图,205 ms,14.53
193.123.235.59,443,JP,TRUE,NRT,亚太,东京,115 ms,14.36
103.247.29.92,34237,HK,TRUE,HKG,亚太,香港,37 ms,14.36
195.245.241.30,15555,JP,TRUE,NRT,亚太,东京,84 ms,14.32
104.129.164.200,443,US,TRUE,LAX,北美洲,洛杉矶,212 ms,14.21
104.17.218.47,443,HK,TRUE,HKG,亚太,香港,65 ms,14.2
54.64.239.156,8443,JP,TRUE,NRT,亚太,东京,67 ms,14.13
104.20.27.133,2096,US,TRUE,SJC,北美洲,圣何塞,254 ms,14.12
43.153.80.208,443,US,TRUE,SJC,北美洲,圣何塞,204 ms,14.06
43.153.103.203,443,US,TRUE,SJC,北美洲,圣何塞,198 ms,14.05
156.238.19.91,443,US,TRUE,LAX,北美洲,洛杉矶,205 ms,13.82
146.56.146.8,43265,JP,TRUE,NRT,亚太,东京,79 ms,13.68
47.129.2.211,8443,SG,TRUE,SIN,亚太,新加坡,72 ms,13.65
18.136.88.43,2053,SG,TRUE,SIN,亚太,新加坡,94 ms,13.52
